C_PT1_G23_C	C_PT2_G23_C	C_PT3_G23_C	C_NL1_G23_C	C_NL2_G23_C	C_NL3_G23_C	C_NL1_G23_W	C_NL2_G23_W	C_NL3_G23_W	C_PT1_G23_W	C_PT2_G23_W	C_PT3_G23_W
gene-LOC117898502	2317.10826881983	2504.48736761513	2500.98098464242	2280.570049125	1792.25739460386	2218.1312685263	2204.35071970397	1866.33086570193	1848.89869196842	2273.14935726143	2377.3558464047	2175.0352719812
gene-LOC117898518	394.961636730652	330.592332525197	313.692027720258	386.763341664473	292.920014204507	318.803657605681	367.058400241088	336.420156049275	285.287056233837	295.059014832559	368.39400940456	341.243015966531
gene-LOC117898421	6007.62980243104	6511.66715579934	7329.93704773002	10753.7991205329	10887.7993741335	11651.51462916	10342.6455501174	12925.1422453574	9990.01712595839	6352.50109503993	5061.36934349507	6603.93398984469
gene-LOC117898541	3698.94738186147	3736.69515248178	4085.60101558081	3582.00646604769	3087.86514973918	3665.39866654574	3257.51828224856	3144.92770878206	3321.0594246594	3619.7582567309	3889.39059929045	3423.83950062468
gene-LOC117898528	4736.37994767398	5136.98186735281	4687.3193596624	5292.43400289144	4562.79252895482	5137.96794215294	4886.77750293721	4604.75088592445	4162.01012003859	4721.86342428305	5329.56827891322	4025.42293302768
gene-LOC117898596	16578.9096634059	14719.7070885967	14773.943923722	15441.6375548454	12892.2360097958	14271.102355412	12589.0029532277	10866.5712904845	12586.4275471528	14732.7286284619	15697.2282578701	12925.7460941487
gene-LOC117898426	3485.14148251128	3941.50656387786	3875.52241519846	5216.85955681907	5391.79372300155	4648.79830878972	5151.81967204862	4930.15728686497	4856.83817685898	4227.34083867583	3403.59630117455	4362.51709773626
gene-LOC117898487	10865.1313187024	11191.1626640011	11171.2385144499	10307.0207775756	9440.09853469973	11442.3524411013	10428.6592351875	9952.42961645772	9527.79245296629	10840.8910309508	11600.363010426	9404.40858896212
gene-LOC117898397	2645.71635057973	2520.07084456918	3019.99870323412	4886.77704970888	5478.1675733439	5511.59233453208	5449.86709240787	7388.22717704643	5355.84201737948	2857.75226515398	1980.62383627671	2699.8649561121
gene-LOC117898442	44731.7751295668	40136.3580006517	40834.1467720579	37150.3971891332	33361.8996947345	43732.608618591	40686.4733564236	36132.1255099708	38259.2805135336	42679.6890240044	43620.2796849905	40336.1691426214
gene-LOC117898452	3609.42274420252	2827.2879616633	3321.333166226	3233.0303474194	3669.01094715132	2493.9217342328	3045.48454695943	3212.01148989903	4175.92656180609	4489.30912287296	4497.64554338974	4670.56930363918
gene-LOC117898471	839.425131931546	870.448498433348	768.07017696354	1083.60419000822	707.890034327558	803.756311370937	763.121415215122	741.926594144383	681.905646607707	855.763061710632	1012.07145440813	746.793226431314
gene-LOC117898505	2485.62523382491	2743.80504940947	2734.82413257934	2396.15449605921	2565.86666288756	2674.40846102544	2697.42917016407	2761.44878090446	3515.88960940446	3469.93078190938	3833.726669298	3611.575020047
gene-LOC117898572	1075.34888293866	868.222287439912	984.802850661173	1042.48280023355	1007.38197192768	929.422303390108	1197.1904770806	987.232957930313	1158.04676136732	1165.52906793671	1327.83774818347	1242.58095175655
gene-LOC117903746	2269.71287241215	2811.70448470925	2219.60874159637	2581.75644450164	3355.4363165606	2051.13887644713	2514.40004960789	2444.0523836794	2579.51188476239	2338.41163157019	2017.05840863541	2755.87444809445
gene-LOC117892013	12.6387723753809	6.67863298030702	7.60465521746079	15.5594447796052	3.75538479749368	15.1811265526515	15.0023869308346	15.0187569664855	10.934347103039	20.2221131660944	13.1569289073057	19.7070434752708
gene-LOC117890087	7978.22506195918	7837.37580239028	7640.77732974373	9112.27769628453	8278.74578607481	7062.59743066131	7394.17643864404	6898.615699939	8610.30132786583	9040.2037722063	8996.30315823388	9492.5716781936
gene-LOC117903363	4143.41087706236	4470.23167481883	4178.75804199471	7567.44710745229	9635.37854416941	8755.29304128195	9022.43550020396	11328.1477545878	9140.12014658581	4959.9328474657	2957.27278978056	4602.11325788297
gene-LOC117903365	1361.82772344729	1445.92404023647	1535.1897720249	1063.5991895773	967.011585354622	1292.92594473415	1029.16374345526	1081.35050158696	1063.61376365925	1282.2658121228	1458.39496580212	1252.95307990143
gene-LOC117890272	0	1.11310549671784	0	0	0	1.6867918391835	0	0	0	0	0	0
gene-LOC117903464	3765.30093683222	2789.4423747749	3054.21965171269	2080.52004481579	2219.43241531876	2613.68395481483	2271.36138132837	2419.0211220686	2189.85151527227	2518.57227614085	2620.25299546265	2457.15715752192
gene-LOC117903466	3355.59406566362	4509.19036720395	3888.83056182901	3723.15285797697	4373.14559668139	3386.23461716087	3595.5720677567	3446.3040985762	5183.87455839532	4145.53319904936	4060.43067508542	4837.56056677174
gene-LOC117903463	5158.72559121796	5410.8058195454	5450.63662711502	6968.40848343749	7316.42843171706	6758.13150368869	6137.97657296882	7234.03460552384	6446.29463301892	4869.85252518037	3990.59774473126	4845.85826928764
gene-LOC117903469	0	0	0	0	0.93884619937342	0	0	0	3.97612621928692	0	0	0
gene-LOC117903467	2.10646206256348	0	0	0	0	0	0	0	0	0	0	1.03721281448794
gene-LOC117903468	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC117903465	4.21292412512696	0	0.950581902182599	5.55694456414473	0.93884619937342	0.843395919591749	0	2.00250092886473	0.99403155482173	0.919186962095201	1.01207145440813	4.14885125795175
gene-LOC117894778	0	2.22621099343567	0	2.22277782565789	0.93884619937342	0	1.00015912872231	0	0	0.919186962095201	0	0
gene-LOC117897509	1758.8958222405	2047.0010084641	2380.25708306523	2752.9103370773	2420.34550198468	2450.06514641403	3116.49584509872	3401.24782767675	2468.18035062236	2123.32188243991	1918.88747755782	2426.04077308728
gene-LOC117900915	731.995566740809	591.059018757171	693.924788593298	752.410293985197	754.832344296229	796.165748094611	814.12953077996	940.174186101991	893.634367784736	636.077377769879	525.26508483782	638.923093724569
gene-LOC117901768	770.965114898233	771.38210922546	755.712612235166	661.276403133223	920.069275385951	687.367674467276	736.11711873962	687.859069065035	658.048889291986	614.936077641689	668.979231363775	771.686333979025
gene-LOC117892351	95.8440238466383	151.382347553626	101.712263533538	180.045003878289	226.261934048994	134.94334713468	168.026733625348	210.262597530797	156.062954107012	85.4843874748537	54.6518585380391	122.391112109577
gene-LOC117893052	259.094833695308	292.746745636791	209.128018480172	346.753340802631	385.865787942475	398.926269966897	391.062219330423	495.618979894021	579.520396461069	326.311371543796	171.040075794974	240.633372961201
gene-LOC117893057	3.15969309384522	2.22621099343567	0	2.22277782565789	3.75538479749368	3.373583678367	3.00047738616693	1.00125046443237	0.99403155482173	0.919186962095201	0	1.03721281448794
gene-LOC117893060	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC117894235	551.893060391631	654.506032070088	693.924788593298	654.608069656249	717.278496321293	436.879086348526	383.060946300645	485.606475249697	363.815549064753	409.038198132364	414.949296307334	458.448064003668
gene-LOC117894226	13071.6503292377	12505.7402556249	13234.9518240883	11016.0869039605	13593.5541207277	10728.8394931266	11238.7881294526	10538.1611381507	12283.2479229321	13027.6368137753	15124.3958146751	13602.0088491948
