C_PT1_G23_C	C_PT2_G23_C	C_PT3_G23_C	C_PT1_G23_W	C_PT2_G23_W	C_PT3_G23_W
gene-Trnag-ucc	0	0	0	0	0	0
gene-LOC117902200	15.5289841972387	20.7225896606134	13.9125945617163	15.4200254947714	18.3640893774953	27.4117573724606
gene-LOC117892692	0	0	0	0	0	0
gene-Trnag-ucc-2	0	0	0	0	0	0
gene-LOC117903097	9.3173905183432	2.18132522743299	0	1.81412064644369	1.02022718763863	2.03050054610819
gene-LOC117895847	0	0	0	0	0	0
gene-LOC117903383	66.2569992415516	57.8051185269742	32.4627206440046	27.2118096966554	58.1529496954018	51.7777639257589
gene-LOC117903382	516.597540961473	616.224376749819	525.896074432875	595.938632356753	402.989739117258	640.622922297135
gene-LOC117903384	0	0	0	0	0	1.0152502730541
gene-LOC117903386	0	1.09066261371649	0	0.907060323221846	1.02022718763863	0
gene-LOC117903385	210.158919469297	338.105410252113	233.731588636833	154.200254947714	200.98475596481	235.53806334855
gene-LOC117903381	2212.36261529994	2763.7390631576	2328.9683296313	2619.59021346469	2289.38980906108	3188.90110766292
gene-LOC117903387	12.4231873577909	15.2692765920309	10.2025693452586	13.6059048483277	16.323635002218	17.2592546419196
gene-LOC117896133	1561.18054462906	1445.12796317436	1374.56434269757	1648.12860729409	1252.83898642023	1468.05189483622
gene-LOC117892719	0	0	1.85501260822884	0.907060323221846	2.04045437527726	2.03050054610819
gene-LOC117892729	0	0	0	0.907060323221846	0	0
gene-LOC117896254	11.3879217446417	7.63463829601546	7.42005043291535	10.8847238786621	9.18204468874765	13.1982535497033
gene-LOC117896346	422.388370164892	581.323173110892	505.490935742358	443.552498055482	514.194502569868	469.045626150993
gene-LOC117896247	486.574838180145	569.32588436001	601.951591370257	524.280866822227	558.064271638329	605.089162740242
gene-LOC117896269	4486.84116738883	2084.25625481222	5242.26563085469	5459.59608547229	5421.48727511167	4708.7307664249
gene-LOC117896229	888.257896082052	949.967136547067	1140.83275406073	751.95300795091	935.548331064622	754.330952879194
