C_PT1_G23_C	C_PT2_G23_C	C_PT3_G23_C	W_PT1_G23_C	W_PT2_G23_C	W_PT3_G23_C	W_PT1_G23_W	W_PT2_G23_W	W_PT3_G23_W	C_PT1_G23_W	C_PT2_G23_W	C_PT3_G23_W
gene-LOC117898452	3714.89900337087	2882.95905598918	3400.1308737449	2456.48599836557	3179.49933540074	3548.34272755234	5120.38710511255	5775.16393549731	5803.42840714687	4603.76059139319	4674.45921998666	4794.65081990707
gene-LOC117898471	863.955210296639	887.588181804544	786.292428730934	1046.75573003393	838.93434652065	696.204218640533	722.937822959456	956.248920579083	758.167606634389	877.58007997278	1051.85851034803	766.633042490138
gene-LOC117898505	2558.26135043923	2797.83231220998	2799.70707606299	2968.28836557805	2697.16361774514	2921.10213434318	3021.53536103672	4113.80217449123	4145.00304102633	3558.39398700026	3984.44003719835	3707.52257493147
gene-LOC117898572	1106.77323677901	885.318135303765	1008.16702495699	926.039824358611	905.925418417262	775.840786102953	1035.23073946929	1523.23691692244	1390.15067454222	1195.2433312626	1380.03836557662	1275.59220125442
gene-LOC117903746	2336.03949584599	2867.06873048373	2272.26834292912	2316.75320344003	2840.42144841635	2578.74699380886	3252.71323429724	2499.7699055138	2710.31664693356	2398.02762991488	2096.35401112363	2829.08888041152
gene-LOC117892013	13.0081085615554	6.81013950233666	7.78507355179142	13.2291403479802	11.3369506286574	1.64199108169937	13.1811945280125	13.522712008189	8.48299420010505	20.7376603215909	13.6741606345244	20.2305941768231
gene-LOC117890087	8211.36852948186	7991.69870599207	7822.05265116243	6981.67881864653	8393.46599270783	7610.62866367658	8606.30608875156	11218.0555187934	11413.8686962414	9270.67678467486	9349.97029848367	9744.75778454131
gene-LOC117903363	4264.49159009658	4558.253373564	4277.89791670939	4562.39977750966	4721.32462089816	5807.72245597067	9975.12244358362	3477.26880210576	4404.79473840455	5086.38250433203	3073.53056723695	4724.37612434548
gene-LOC117903365	1401.6236975076	1474.39520225589	1571.61172326789	1461.82000845181	1399.59808670153	1331.65476725819	729.021451203154	1377.38480883411	1195.0418079398	1314.95618857361	1515.72811341152	1286.23988240012
gene-LOC117890272	0	1.13502325038944	0	0.82682127174876	1.03063187533249	0	0	0	1.06037427501313	0	0	0
gene-LOC117903464	3875.33234229672	2844.36826547594	3126.68016523823	2884.77941713142	2717.77625525179	2550.83314541997	1896.06413595257	2345.22462542022	2259.65758005298	2582.78133096178	2723.26168329106	2522.43566341547
gene-LOC117903466	3453.65282309296	4597.97918732763	3981.09198754734	4033.23416359045	4384.30799766443	3648.504183536	5652.70457643614	5474.76654731539	5333.68260331605	4251.22036592614	4220.05634351631	4966.07848635278
gene-LOC117903463	5309.4763112082	5517.34802014308	5579.9514682465	5104.79453177684	5200.56844292777	5563.88678033832	7290.21451203154	4664.36973482464	4507.65104308082	4994.00565380858	4147.4781063023	4974.59663126934
