C_PT1_G23_W	C_PT2_G23_W	C_PT3_G23_W	W_PT1_G23_W	W_PT2_G23_W	W_PT3_G23_W
gene-LOC117892289	201.138494171288	259.736453773613	381.036734439107	452.987933429772	270.693039708642	359.370189554009
gene-LOC117892296	0	0	0	0	0	0
gene-LOC117892685	0	0	0	0	0	0
gene-LOC117892304	27.5532183796285	19.7399704867946	60.924572715196	52.7451703308639	14.8834661008188	23.6157553135492
gene-Trnag-ucc	0	0	0	0	0	0
gene-LOC117902200	15.6134904151228	18.7010246717002	27.8807366662761	59.9847035135315	15.81368273212	18.4818954627776
gene-LOC117892692	0	0	0	0	0	0
gene-Trnag-ucc-2	0	0	0	0	0	0
gene-LOC117903097	1.83688122530856	1.03894581509445	2.06523975305749	0	0	0
gene-LOC117895847	0	0	0	0	0	0
gene-LOC117903383	27.5532183796285	59.2199114603838	52.663613702966	112.729873844395	46.5108315650587	49.285054567407
gene-LOC117903382	603.415482513863	410.383596962309	651.583142089638	1306.21862995845	533.014129735573	585.260022987958
gene-LOC117903384	0	0	1.03261987652875	1.03421902609537	0	0
gene-LOC117903386	0.918440612654282	1.03894581509445	0	2.06843805219074	4.65108315650587	0
gene-LOC117903385	156.134904151228	204.672325573607	239.567811354669	175.817234436213	268.832606446039	193.033130389011
gene-LOC117903381	2652.45648934557	2331.39440907195	3243.45903217679	4562.97434313277	2821.34704273646	3207.63563476207
gene-LOC117903387	13.7766091898142	16.6231330415113	17.5545379009887	22.7528185740981	13.0230328382164	6.16063182092588
gene-LOC117896133	1668.80659319283	1275.82546093599	1493.16834146057	2940.28469118914	1512.53224249571	1445.69493397727
gene-LOC117892719	0.918440612654282	2.07789163018891	2.06523975305749	0	0	2.05354394030863
gene-LOC117892729	0.918440612654282	0	0	3.10265707828611	0	0
gene-LOC117896254	11.0212873518514	9.35051233585008	13.4240583948737	46.5398561742917	6.51151641910822	5.13385985077156
gene-LOC117896346	449.117459587944	523.628690807604	477.07038295628	623.634072735508	430.690300292444	604.76869042089
gene-LOC117896247	530.858674114175	568.303360856666	615.441446411132	727.055975345045	592.547994138848	525.707248719008
gene-LOC117896269	5528.09404756612	5520.95806141192	4789.29098734032	5373.80205959155	6228.73056319266	5122.56535909987
gene-LOC117896229	761.3872678904	952.713312441614	767.236568260858	570.888902404644	858.589950690984	682.803360152618
gene-LOC117896259	2453.15487639959	2381.26380819649	3172.20826069631	3329.151045001	3039.01773446094	3119.3332453288
gene-LOC117896250	720.057440320957	755.313607573667	619.571925917247	633.976262996462	665.10489138034	585.260022987958
gene-LOC117896349	9.18440612654282	3.11683744528336	18.5871577775174	9.30797123485833	16.7438993634211	10.2677197015431
gene-LOC117896235	1610.94483459561	1516.8608900379	1537.5709961513	874.949296076683	1418.58036273429	1530.91700750008
gene-LOC117896220	0	0	0	0	0	0
gene-LOC117896321	0	0	0	0	0	0
gene-LOC117896241	0	0	0	0	0	0
gene-LOC117896328	173.585275791659	205.711271388702	270.546407650531	330.950088350519	242.786540769606	298.790643314905
gene-LOC117896163	1029.57192678545	912.19442565293	1048.10917467668	1528.57572056896	910.68208204385	972.353055736134
gene-LOC117896204	0	0	0	0	0	0
gene-LOC117896351	39.4929463441341	34.285211898117	37.1743155550348	50.6767322786731	38.1388818833481	37.9905628957096
gene-LOC117896199	841.291601191322	722.067341490645	882.889994432077	957.686818164313	626.966009496991	849.140419317617
gene-LOC117896273	4364.42979133315	4414.48076833633	4167.65382167002	4668.4646837945	4467.83048013954	3914.05475022824
gene-LOC117896187	22870.0896957043	18493.2355086813	24226.2949232409	35294.7927035567	18941.0710465545	20694.5890584602
gene-LOC117896179	2234.56601058787	1785.94785614736	2225.29583391945	3297.09025519204	2016.70965666095	2096.66836305511
gene-LOC117896121	6454.80062573429	5494.98441603456	6789.4756881765	11738.3859461825	5603.62498695827	6486.11853546479
gene-LOC117896368	0	0	0	0	0	0
gene-LOC117896337	0	1.03894581509445	2.06523975305749	2.06843805219074	0.930216631301174	4.10708788061725
gene-LOC117892736	0	0	0	0	0	0
gene-LOC117896357	0	0	0	0	0	0
gene-LOC117896212	91.8440612654282	115.322985475484	103.261987652875	84.8059601398204	60.4640810345763	63.6598621495674
gene-LOC117896170	0	0	0	0	0	0
gene-LOC117903771	7.34752490123425	9.35051233585008	7.22833913570122	8.27375220876296	6.51151641910822	2.05354394030863
gene-LOC117903770	4650.98326248128	4224.35368417405	4562.114614504	3623.90346743818	4360.8555675399	5119.4850431894
gene-LOC117903767	2637.7614395431	2519.44360160405	2539.21227638419	2866.85514033637	2291.12356289479	2335.90623210106
gene-LOC117903769	4226.663699435	3648.77770261172	4389.6670951237	6292.18855476423	4051.09342931661	4263.15722008071
gene-LOC117892081	4576.58957285629	3384.88546557773	4387.60185537064	9992.62423013347	3651.10027785711	4353.51315345429
gene-LOC117892148	0	0	0	0	0	0
gene-LOC117892154	3.67376245061713	2.07789163018891	2.06523975305749	8.27375220876296	4.65108315650587	9.24094773138882
gene-LOC117892142	2087.61551256318	2103.86527556627	1926.86868960264	2500.74160509861	1845.54979650153	1919.03681221841
gene-LOC117892062	5810.05531565099	4223.31473835895	5132.12078634787	9337.9635866151	4199.9280903248	4773.4628892474
gene-LOC117892133	4006.23795239798	3546.96101273246	3442.75466834684	3508.0709365155	3452.96413538996	3526.96171748006
gene-LOC117903522	4459.94761504919	4590.06261108729	4272.98104907595	3804.89179700487	4401.78509931716	4975.7369673678
gene-LOC117903520	0	0	0	0	0	0
gene-LOC117903516	0	0	0	0	0	0
gene-LOC117903523	0	0	0	0	0	0
gene-LOC117903521	0	0	0	0	0	0
gene-LOC117903524	16535.6047902277	16660.5350908546	17523.5593046928	16057.2845991567	19357.8080973774	19861.876990665
gene-LOC117903517	0	0	0	0	0	0
gene-LOC117903526	2.75532183796285	0	7.22833913570122	10.3421902609537	7.44173305040939	3.08031591046294
gene-LOC117892802	3.67376245061713	4.15578326037781	9.29357888875871	1.03421902609537	3.7208665252047	5.13385985077156
gene-LOC117903525	86.3334175895025	85.1935568377452	91.9031690110584	153.064415862115	81.8590635545033	105.757512925894
gene-LOC117903519	6925.96066002594	7102.23359198568	6630.45222719108	5852.6454686737	7463.12803292932	6602.14376809223
gene-LOC117903518	692.504221941329	716.872612415173	697.018416656903	615.360320526745	624.175359603088	705.392343496013
gene-LOC117901432	55568.412387422	63907.63497809	50480.6552839843	31984.2576010254	60612.9156955845	52615.9028385876
gene-LOC117903149	731.078727672808	762.586228279329	682.561738385501	425.064019725197	600.919943820559	640.705709376291
gene-LOC117903154	1375.82403775611	1181.28139176239	1607.78914775526	2427.31205424583	1372.99974780053	1520.64928779854
gene-LOC117903153	2.75532183796285	7.27262070566117	11.3588186418162	12.4106283131444	7.44173305040939	6.16063182092588
gene-LOC117892819	4228.50058066031	4047.73289560799	4586.89749154069	4144.11563756415	4278.9965039854	4827.88180366558
gene-LOC117903150	956.096677773107	798.949331807635	1081.1530107256	1800.57532443204	981.378546022739	1075.03025275157
gene-LOC117903152	58.780199209874	35.3241577132114	69.185531727426	173.748796384022	81.8590635545033	71.8740379108019
gene-LOC117892835	0	0	3.09785962958624	2.06843805219074	1.86043326260235	0
gene-LOC117892851	0	0	0	2.06843805219074	0	0
gene-LOC117893038	0	0	0	0	0	0
gene-LOC117893078	0	1.03894581509445	0	0	0	0
gene-LOC117893086	2.75532183796285	0	5.16309938264373	2.06843805219074	2.79064989390352	0
gene-LOC117903095	0	0	0	0	0	0
gene-LOC117897365	0	0	0	0	0	0
gene-LOC117892447	2.75532183796285	5.19472907547227	2.06523975305749	1.03421902609537	0	0
gene-LOC117889658	109.29443290586	82.0767193924618	137.338443578323	145.824882679447	116.277078912647	141.694531881295
gene-LOC117889739	3297.20179942887	3726.6986387438	3443.78728822337	2859.6156071537	4096.67404425037	3791.86888577988
gene-LOC117893126	0.918440612654282	0	0	0	0	0
gene-LOC117889699	0	0	1.03261987652875	0	0	0
gene-LOC117893141	0.918440612654282	0	0	0	0	0
gene-LOC117889729	0	3.11683744528336	13.4240583948737	2.06843805219074	5.58129978780705	6.16063182092588
gene-LOC117893150	0	0	0	0	0	0
gene-LOC117889708	0	0	0	0	0	0
gene-LOC117889644	1.83688122530856	0	0	0	2.79064989390352	0
gene-LOC117889719	0	0	0	0	0	0
gene-LOC117889743	108.375992293205	90.3882859132174	82.6095901222997	106.524559687823	82.7892801858045	119.1055485379
gene-LOC117889675	0	0	0	0	0	0
gene-LOC117891408	513.408302473744	378.176276694381	428.537248759429	279.23913704575	602.780377083161	683.830132122772
gene-LOC117893162	0	0	0	0	0	0
